id,progressType,takeoffTime,taxiTime,taxipath,time
"ADH124","Gate Occupied",1549641388881,169.65542256105573," K Z WB 35L-17R",1549641062000
"EZY363E","Gate Occupied",1549641602102,684.8056766237677," A M C H GE 35L-17R",1549641062000
"AEA406","Gate Occupied",1549641730367,513.0702542967182," 609 T Y Z WB 35L-17R",1549641062000
"AUA516P","Gate Occupied",1549640798533,123.80716745884995," K Z WB 35L-17R",1549641062000
"ADH138","Gate Occupied",1549640863896,184.669581334388," K Z WB 35L-17R",1549641062000
"EZY152X","Gate Occupied",1549641839007,681.709866205839," M C H GE 35L-17R",1549641062000
"NAPOLI","Gate Occupied",1549645635734,999.7232809477431," T Y H C CA 35R-17L",1549641062000
"AUA516P","Taxi Start",1549640798533,123.80716745884995," K Z WB 35L-17R",1549641233000
"ADH138","Taxi Start",1549640863896,184.669581334388," K Z WB 35L-17R",1549641237000
"NOS436","Gate Occupied",1549641780972,203.67503345307452," K Z WB 35L-17R",1549641241000
"AEA406","Taxi Start",1549641654875,513.0702542967182," 609 T Y Z WB 35L-17R",1549641329000
"AUA516P","Taxi Start",1549641363807,123.80716745884995," K Z WB 35L-17R",1549641356000
"EZY363E","Taxi Start",1549641857623,684.8056766237677," A M C H GE 35L-17R",1549641388000
"ADH138","Taxi Start",1549641424669,184.669581334388," K Z WB 35L-17R",1549641420000
"EZY287C","Gate Occupied",1549642507093,689.7966496128936," B BE M C H GE 35L-17R",1549641481000
"AEA406","Taxi Start",1549641599600,513.0702542967182," 609 T Y Z WB 35L-17R",1549641582000
"TAR757","Gate Occupied",1549642426066,486.8405057873887," R K Z WB 35L-17R",1549641601000
"ADH646","Gate Occupied",1549642103995,164.76924920896957," K Z WB 35L-17R",1549641601000
"NOS436","Taxi Start",1549641780972,203.67503345307452," K Z WB 35L-17R",1549641687100
"EZY54HY","Gate Occupied",1549642797777,680.480776285549," B BE M C H GE 35L-17R",1549641781100
"EZY363E","Taxi Start",1549641987232,830.9355080944774," A M C CF FE 35L-17R F W GW GE H CA 35R-17L",1549641796100
"EZY363E","Taxi Start",1549641806833,650.5358114979829," A M C CF CA 35R-17L",1549641820100
"EZY22XF","Gate Occupied",1549642852656,675.3595029550454," M C H GE 35L-17R",1549641841100
"EZY152X","Taxi Start",1549642318110,681.709866205839," M C H GE 35L-17R",1549641881100
"ADH124","Taxi Start",1549641388881,169.65542256105573," K Z WB 35L-17R",1549641884100
"EZY363E","Taxi Start",1549641977922,650.5358114979829," A M C CF CA 35R-17L",1549641954100
"NOS436","Taxi Start",1549641945748,203.67503345307452," K Z WB 35L-17R",1549641956100
"ADH124","Taxi Start",1549642069755,169.65542256105573," K Z WB 35L-17R",1549642052100
"WZZ2TY","Gate Occupied",1549642888118,468.89212094763633," R K Z WB 35L-17R",1549642081100
"EZY152X","Taxi Start",1549642219195,553.7612760836923," M C CF FE 35L-17R",1549642187100
"DLH1LC","Gate Occupied",1549642968796,431.49884887830007," S K Z WB 35L-17R",1549642201100
