position,entityId,entityName,droneId,droneName,eventType,description,riskType,distance,timestamp,visible,onlyRadar
{"lat":"45.67240156734145","lng":"8.719775866046458"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1920.46,1549641533000,false,true
{"lat":"45.67230623746734","lng":"8.719848250092559"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1909.18,1549641537000,true,true
{"lat":"45.67228255712038","lng":"8.719866751754747"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1906.38,1549641538000,false,true
{"lat":"45.672258916857736","lng":"8.719885358123381"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1903.58,1549641539000,true,true
{"lat":"45.67223527688104","lng":"8.719903965234598"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1900.78,1549641540000,false,true
{"lat":"45.67206979704416","lng":"8.720034215013122"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1881.2,1549641547000,true,true
{"lat":"45.672046162354604","lng":"8.720052835831956"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1878.41,1549641548000,false,true
{"lat":"45.67202258276488","lng":"8.720071599067085"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1875.62,1549641549000,true,true
{"lat":"45.67199907072621","lng":"8.720090535100024"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1872.84,1549641550000,false,true
{"lat":"45.671975627605704","lng":"8.720109645353471"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1870.06,1549641551000,true,true
{"lat":"45.67190571753478","lng":"8.720168014833527"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1861.77,1549641554000,false,true
{"lat":"45.671767857994325","lng":"8.720289421442724"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1845.39,1549641560000,true,true
{"lat":"45.671745144477406","lng":"8.720310258121987"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1842.69,1549641561000,false,true
{"lat":"45.671722508510264","lng":"8.720331266931119"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1839.99,1549641562000,true,true
{"lat":"45.671699950365856","lng":"8.72035244645627"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1837.3,1549641563000,false,true
{"lat":"45.67154429104471","lng":"8.72050546644755"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1818.72,1549641570000,true,true
{"lat":"45.67150056108618","lng":"8.72055070456801"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1813.48,1549641572000,false,true
{"lat":"45.671308074007065","lng":"8.720762471216256"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1790.41,1549641581000,true,true
{"lat":"45.67128713381125","lng":"8.720786816625015"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1787.89,1549641582000,false,true
{"lat":"45.67124552872256","lng":"8.720835987975441"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1782.9,1549641584000,true,true
{"lat":"45.67122486535819","lng":"8.720860813067375"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1780.41,1549641585000,false,true
{"lat":"45.67116343755248","lng":"8.720936234645153"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1773.03,1549641588000,true,true
{"lat":"45.67110286495859","lng":"8.721013059688628"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1765.74,1549641591000,false,true
{"lat":"45.67106296528008","lng":"8.721065044989615"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1760.94,1549641593000,true,true
{"lat":"45.67104316124043","lng":"8.72109126515912"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1758.56,1549641594000,false,true
{"lat":"45.670984339324946","lng":"8.721170827277025"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1751.48,1549641597000,true,true
{"lat":"45.670964929937995","lng":"8.721197644997872"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1749.15,1549641598000,false,true
{"lat":"45.67085057915909","lng":"8.721361601297756"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1735.39,1549641604000,true,true
{"lat":"45.670831875031325","lng":"8.721389426371289"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1733.14,1549641605000,false,true
{"lat":"45.67077637612227","lng":"8.721473735834802"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1726.47,1549641608000,true,true
{"lat":"45.67075808223848","lng":"8.721502113942133"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1724.28,1549641609000,false,true
{"lat":"45.67070381995386","lng":"8.721588056042497"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1717.76,1549641612000,true,true
{"lat":"45.670666553082036","lng":"8.721643587973686"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1713.32,1549641614000,false,true
{"lat":"45.67064378795211","lng":"8.721664291424085"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1710.68,1549641615000,true,true
{"lat":"45.670620368807555","lng":"8.721683458802097"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1707.98,1549641616000,false,true
{"lat":"45.67015993053431","lng":"8.72200566491749"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1655.32,1549641635000,true,true
{"lat":"45.67013547657379","lng":"8.722021975296219"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1652.54,1549641636000,false,true
{"lat":"45.67011101332164","lng":"8.722038257110968"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1649.75,1549641637000,true,true
{"lat":"45.67008654135346","lng":"8.72205451209481"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1646.97,1549641638000,false,true
{"lat":"45.66989050711533","lng":"8.72218375103119"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1624.69,1549641646000,true,true
{"lat":"45.66986597585233","lng":"8.722199821871197"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1621.9,1549641647000,false,true
{"lat":"45.669841439536505","lng":"8.722215876884727"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1619.12,1549641648000,true,true
{"lat":"45.66979208086716","lng":"8.72224705837444"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1613.52,1549641650000,false,true
{"lat":"45.66944949106632","lng":"8.722287753302874"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1575.32,1549641663000,true,true
{"lat":"45.6694239407158","lng":"8.72227537409152"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1572.53,1549641664000,false,true
{"lat":"45.66930636381723","lng":"8.72218208896407"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1559.82,1549641669000,true,true
{"lat":"45.66928517837293","lng":"8.722158188917769"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1557.56,1549641670000,false,true
{"lat":"45.66924519367389","lng":"8.722106375020863"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1553.33,1549641672000,true,true
{"lat":"45.66917416333587","lng":"8.721990275728013"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1545.97,1549641676000,false,true
{"lat":"45.66915809626958","lng":"8.721959261872462"},"CRITICAL_ASSET_1652283773944","DEP_RWY_35_R","nFrBGqNaG0PvYshpYbpc","Drone_01","DRONE_VS_CA","drone vs critical asset","YELLOW",1544.33,1549641677000,true,true
