droneId,entityId,riskType,seconds
"g0XHeVOoGCLWYb7WF6Ut","CRITICAL_ASSET_1652283773944","YELLOW",92
"g0XHeVOoGCLWYb7WF6Ut","CRITICAL_ASSET_1652283209960","ORANGE",2
"g0XHeVOoGCLWYb7WF6Ut","CRITICAL_ASSET_1652282978809","ORANGE",1
"g0XHeVOoGCLWYb7WF6Ut","CRITICAL_ASSET_1652283046149","YELLOW",86
"g0XHeVOoGCLWYb7WF6Ut","CRITICAL_ASSET_1652283209960","YELLOW",84
"g0XHeVOoGCLWYb7WF6Ut","EZY287C","YELLOW",48
"g0XHeVOoGCLWYb7WF6Ut","CRITICAL_ASSET_1652283046149","ORANGE",100
"g0XHeVOoGCLWYb7WF6Ut","CRITICAL_ASSET_1652283773944","ORANGE",135
"g0XHeVOoGCLWYb7WF6Ut","CRITICAL_ASSET_1652282978809","YELLOW",86
"g0XHeVOoGCLWYb7WF6Ut","CRITICAL_ASSET_1652283046149","RED",64
