id,progressType,time
"AUA516P","Gate Occupied",1549641065200
"ADH124","Gate Occupied",1549641065200
"AEA406","Gate Occupied",1549641065200
"EZY152X","Gate Occupied",1549641065200
"EZY363E","Gate Occupied",1549641065200
"NAPOLI","Gate Occupied",1549641065200
"ADH138","Gate Occupied",1549641065200
"AEA406","Pushback Start",1549641125300
"AEA406","Gate Vacated",1549641125300
"EZY363E","Pushback Start",1549641126300
"EZY363E","Gate Vacated",1549641126300
"AUA516P","Gate Vacated",1549641136300
"ADH138","Gate Vacated",1549641136300
"AUA516P","Stopbar approached",1549641235300
"NOS436","Gate Occupied",1549641241300
"EZY152X","Pushback Start",1549641249300
"EZY152X","Gate Vacated",1549641249300
"AUA516P","Lineup Start",1549641256300
"AUA516P","Stopbar Passed",1549641259300
"AUA516P","Runway Entry",1549641265300
"AUA516P","Lineup Complete",1549641272300
"EZY363E","Pushback Complete",1549641277300
"AUA516P","Takeoff started",1549641291300
"ADH138","Stopbar approached",1549641295300
"AUA516P","Takeoff",1549641324300
"ADH138","Lineup Start",1549641326300
"ADH138","Stopbar Passed",1549641329300
"ADH138","Runway Entry",1549641336300
"AEA406","Pushback Complete",1549641339300
"ADH138","Lineup Complete",1549641342300
