position,entityId,entityName,droneId,droneName,eventType,description,riskType,distance,timestamp,visible,onlyRadar
{"lat":"45.622024640237264","lng":"8.70608312108511"},"CRITICAL_ASSET_1652283134068","FINGER_3","lHTbdYE3Nv5jAOi0RZYE","Drone_02","DRONE_VS_CA","drone vs critical asset","YELLOW",842.41,1549641494100,true,false
{"lat":"45.62183468290532","lng":"8.707719514464237"},"NAPOLI","NAPOLI","lHTbdYE3Nv5jAOi0RZYE","Drone_02","DRONE_VS_PLANE","drone vs plane","YELLOW",628.68,1549641537600,true,false
{"lat":"45.62183468290532","lng":"8.707719514464237"},"CRITICAL_ASSET_1652282809098","TOWER","lHTbdYE3Nv5jAOi0RZYE","Drone_02","DRONE_VS_CA","drone vs critical asset","YELLOW",592.3,1549641537600,true,false
{"lat":"45.62183468290532","lng":"8.707719514464237"},"CRITICAL_ASSET_1652283104248","FINGER_2","lHTbdYE3Nv5jAOi0RZYE","Drone_02","DRONE_VS_CA","drone vs critical asset","YELLOW",888.93,1549641537600,true,false
{"lat":"45.62183468290532","lng":"8.707719514464237"},"CRITICAL_ASSET_1652340976057","FIRE_STATION","lHTbdYE3Nv5jAOi0RZYE","Drone_02","DRONE_VS_CA","drone vs critical asset","YELLOW",784.24,1549641537600,true,false
{"lat":"45.62181259484347","lng":"8.707909792764138"},"NAPOLI","NAPOLI","lHTbdYE3Nv5jAOi0RZYE","Drone_02","DRONE_VS_PLANE","drone vs plane","YELLOW",613.94,1549641542600,false,false
{"lat":"45.62181259484347","lng":"8.707909792764138"},"CRITICAL_ASSET_1652282809098","TOWER","lHTbdYE3Nv5jAOi0RZYE","Drone_02","DRONE_VS_CA","drone vs critical asset","YELLOW",577.41,1549641542600,false,false
{"lat":"45.62181259484347","lng":"8.707909792764138"},"CRITICAL_ASSET_1652283104248","FINGER_2","lHTbdYE3Nv5jAOi0RZYE","Drone_02","DRONE_VS_CA","drone vs critical asset","YELLOW",880.96,1549641542600,false,false
{"lat":"45.62181259484347","lng":"8.707909792764138"},"CRITICAL_ASSET_1652283134068","FINGER_3","lHTbdYE3Nv5jAOi0RZYE","Drone_02","DRONE_VS_CA","drone vs critical asset","YELLOW",720.14,1549641542600,false,false
{"lat":"45.62181259484347","lng":"8.707909792764138"},"CRITICAL_ASSET_1652340976057","FIRE_STATION","lHTbdYE3Nv5jAOi0RZYE","Drone_02","DRONE_VS_CA","drone vs critical asset","YELLOW",769.44,1549641542600,false,false
{"lat":"45.6218081772311","lng":"8.707947848424118"},"NAPOLI","NAPOLI","lHTbdYE3Nv5jAOi0RZYE","Drone_02","DRONE_VS_PLANE","drone vs plane","YELLOW",611,1549641543600,true,false
{"lat":"45.6218081772311","lng":"8.707947848424118"},"CRITICAL_ASSET_1652282809098","TOWER","lHTbdYE3Nv5jAOi0RZYE","Drone_02","DRONE_VS_CA","drone vs critical asset","YELLOW",574.44,1549641543600,true,false
{"lat":"45.6218081772311","lng":"8.707947848424118"},"CRITICAL_ASSET_1652283104248","FINGER_2","lHTbdYE3Nv5jAOi0RZYE","Drone_02","DRONE_VS_CA","drone vs critical asset","YELLOW",879.38,1549641543600,true,false
{"lat":"45.6218081772311","lng":"8.707947848424118"},"CRITICAL_ASSET_1652283134068","FINGER_3","lHTbdYE3Nv5jAOi0RZYE","Drone_02","DRONE_VS_CA","drone vs critical asset","YELLOW",717.68,1549641543600,true,false
{"lat":"45.6218081772311","lng":"8.707947848424118"},"CRITICAL_ASSET_1652340976057","FIRE_STATION","lHTbdYE3Nv5jAOi0RZYE","Drone_02","DRONE_VS_CA","drone vs critical asset","YELLOW",766.48,1549641543600,true,false
{"lat":"45.6217330778208","lng":"8.708594794643773"},"NAPOLI","NAPOLI","lHTbdYE3Nv5jAOi0RZYE","Drone_02","DRONE_VS_PLANE","drone vs plane","YELLOW",561.01,1549641560600,false,false
{"lat":"45.6217330778208","lng":"8.708594794643773"},"CRITICAL_ASSET_1652282809098","TOWER","lHTbdYE3Nv5jAOi0RZYE","Drone_02","DRONE_VS_CA","drone vs critical asset","YELLOW",523.88,1549641560600,false,false
{"lat":"45.6217330778208","lng":"8.708594794643773"},"CRITICAL_ASSET_1652283104248","FINGER_2","lHTbdYE3Nv5jAOi0RZYE","Drone_02","DRONE_VS_CA","drone vs critical asset","YELLOW",853.8,1549641560600,false,false
{"lat":"45.6217330778208","lng":"8.708594794643773"},"CRITICAL_ASSET_1652283134068","FINGER_3","lHTbdYE3Nv5jAOi0RZYE","Drone_02","DRONE_VS_CA","drone vs critical asset","YELLOW",676.49,1549641560600,false,false
{"lat":"45.6217330778208","lng":"8.708594794643773"},"CRITICAL_ASSET_1652340976057","FIRE_STATION","lHTbdYE3Nv5jAOi0RZYE","Drone_02","DRONE_VS_CA","drone vs critical asset","YELLOW",716.22,1549641560600,false,false
{"lat":"45.621728660208426","lng":"8.708632850303752"},"NAPOLI","NAPOLI","lHTbdYE3Nv5jAOi0RZYE","Drone_02","DRONE_VS_PLANE","drone vs plane","YELLOW",558.07,1549641561600,true,false
{"lat":"45.621728660208426","lng":"8.708632850303752"},"CRITICAL_ASSET_1652282809098","TOWER","lHTbdYE3Nv5jAOi0RZYE","Drone_02","DRONE_VS_CA","drone vs critical asset","YELLOW",520.91,1549641561600,true,false
