id,progressType,time
"NAPOLI","Gate Occupied",1549641062000
"ADH124","Gate Occupied",1549641062000
"AEA406","Gate Occupied",1549641062000
"EZY363E","Gate Occupied",1549641062000
"EZY152X","Gate Occupied",1549641062000
"ADH138","Gate Occupied",1549641062000
"AUA516P","Gate Occupied",1549641062000
"AEA406","Pushback Start",1549641109000
"AEA406","Gate Vacated",1549641109000
"ADH138","Gate Vacated",1549641198000
"NOS436","Gate Occupied",1549641241000
"AEA406","Pushback Complete",1549641323000
"ADH138","Stopbar approached",1549641358000
"ADH138","Lineup Start",1549641384000
"ADH138","Stopbar Passed",1549641387000
"ADH138","Runway Entry",1549641394000
"ADH138","Lineup Complete",1549641400000
"AUA516P","Gate Vacated",1549641406000
"EZY287C","Gate Occupied",1549641480000
"AUA516P","Stopbar approached",1549641531000
"EZY363E","Pushback Start",1549641571000
"EZY363E","Gate Vacated",1549641571000
"ADH138","Takeoff started",1549641598000
"TAR757","Gate Occupied",1549641601000
"ADH646","Gate Occupied",1549641601000
"AEA406","Stopbar approached",1549641609000
"AUA516P","Lineup Start",1549641617000
"AUA516P","Stopbar Passed",1549641619000
"AUA516P","Runway Entry",1549641631000
"AUA516P","Lineup Complete",1549641635000
"ADH138","Takeoff",1549641636000
"AUA516P","Takeoff started",1549641683000
"AUA516P","Takeoff",1549641716000
"EZY363E","Pushback Complete",1549641722000
"EZY54HY","Gate Occupied",1549641781000
"AEA406","Lineup Start",1549641797000
"AEA406","Stopbar Passed",1549641800000
"AEA406","Runway Entry",1549641807000
"AEA406","Lineup Complete",1549641813000
"EZY152X","Pushback Start",1549641820000
"EZY152X","Gate Vacated",1549641820000
"NOS436","Gate Vacated",1549641823000
"EZY22XF","Gate Occupied",1549641841000
"AEA406","Takeoff",1549641845000
"ADH124","Gate Vacated",1549641943000
"NOS436","Stopbar approached",1549642002000
"EZY152X","Pushback Complete",1549642017000
"NOS436","Lineup Start",1549642023000
"NOS436","Stopbar Passed",1549642026000
"NOS436","Runway Entry",1549642033000
"NOS436","Lineup Complete",1549642039000
"NOS436","Takeoff started",1549642058000
"WZZ2TY","Gate Occupied",1549642081000
"ADH124","Stopbar approached",1549642088000
"NOS436","Takeoff",1549642094000
"ADH124","Lineup Start",1549642109000
"ADH124","Stopbar Passed",1549642112000
"ADH124","Runway Entry",1549642119000
"ADH124","Lineup Complete",1549642125000
"ADH124","Takeoff started",1549642174000
"EZY363E","Stopbar approached",1549642191000
"DLH1LC","Gate Occupied",1549642201000
"ADH124","Takeoff",1549642212000
"EZY363E","Lineup Start",1549642212000
"EZY363E","Stopbar Passed",1549642214000
"EZY363E","Runway Entry",1549642225000
"EZY363E","Lineup Complete",1549642232000
"EZY363E","Takeoff started",1549642344000
"EZY22XF","Pushback Start",1549642347000
"EZY22XF","Gate Vacated",1549642347000
"EZY54HY","Pushback Start",1549642360000
"EZY54HY","Gate Vacated",1549642360000
"ADH646","Gate Vacated",1549642360000
"EZY363E","Takeoff",1549642380000
"EZY152X","Stopbar approached",1549642436000
"TAR757","Pushback Start",1549642439000
"TAR757","Gate Vacated",1549642439000
"EZY152X","Lineup Start",1549642457000
"EZY152X","Stopbar Passed",1549642459000
"EZY152X","Runway Entry",1549642470000
"EZY152X","Lineup Complete",1549642477000
"EZY54HY","Pushback Complete",1549642485000
"ADH646","Stopbar approached",1549642501000
"EZY152X","Takeoff",1549642509000
"ADH646","Lineup Start",1549642521000
"ADH646","Stopbar Passed",1549642524000
"ADH646","Runway Entry",1549642531000
"ADH646","Lineup Complete",1549642537000
"EZY22XF","Pushback Complete",1549642543000
"ADH646","Takeoff started",1549642577000
"ADH646","Takeoff",1549642615000
"TAR757","Pushback Complete",1549642617000
"EZY287C","Pushback Start",1549642646000
"EZY287C","Gate Vacated",1549642646000
