position,entityId,entityName,droneId,droneName,eventType,description,riskType,distance,timestamp,visible,onlyRadar
{"lat":"45.63430824653775","lng":"8.747418591967728"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1152.27,1549641367000,true,true
{"lat":"45.63433506875259","lng":"8.74732312042585"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1145.26,1549641369000,false,true
{"lat":"45.634375302074865","lng":"8.747179913113033"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1134.77,1549641372000,true,true
{"lat":"45.63438871318229","lng":"8.747132177342095"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1131.27,1549641373000,false,true
{"lat":"45.63441553539713","lng":"8.747036705800216"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1124.3,1549641375000,true,true
{"lat":"45.63444235761198","lng":"8.746941234258339"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1117.35,1549641377000,false,true
{"lat":"45.63454964647136","lng":"8.746559348090827"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1089.67,1549641385000,true,true
{"lat":"45.63456305757879","lng":"8.746511612319889"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1086.22,1549641386000,false,true
{"lat":"45.63457646868621","lng":"8.74646387654895"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1082.78,1549641387000,true,true
{"lat":"45.63458987979364","lng":"8.74641614077801"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1079.35,1549641388000,false,true
{"lat":"45.634710579760444","lng":"8.74598651883956"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1048.6,1549641397000,true,true
{"lat":"45.63475081308271","lng":"8.745843311526743"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1038.43,1549641400000,false,true
{"lat":"45.634791046404985","lng":"8.745700104213926"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1028.3,1549641403000,true,true
{"lat":"45.63480445751241","lng":"8.745652368442988"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1024.93,1549641404000,false,true
{"lat":"45.63488381383181","lng":"8.74536533470886"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1004.74,1549641410000,true,true
{"lat":"45.63489565596728","lng":"8.745316756799397"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1001.3,1549641411000,false,true
{"lat":"45.63492669968536","lng":"8.745168971505825"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",990.76,1549641414000,true,true
{"lat":"45.634935434471544","lng":"8.745119066022797"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",987.17,1549641415000,false,true
{"lat":"45.63492349827458","lng":"8.744255357164368"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",921.31,1549641432000,true,true
{"lat":"45.63489962805734","lng":"8.744158314120718"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",913.37,1549641434000,false,true
{"lat":"45.63487119136391","lng":"8.744063820671332"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",905.5,1549641436000,true,true
{"lat":"45.63483846498574","lng":"8.743972209068758"},"CRITICAL_ASSET_1652283046149","RWY_35_R","cAFKVf7R3VRmGSEDRQOV","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",897.76,1549641438000,false,true
