droneId,entityId,riskType,seconds
"fEWoL9QPeCgGGjhYHpel","CRITICAL_ASSET_1652282978809","ORANGE",59
"qFlpGoiq46YfzfytgEjj","ADH124","YELLOW",85
"qFlpGoiq46YfzfytgEjj","EZY363E","YELLOW",67
"qFlpGoiq46YfzfytgEjj","TAR757","YELLOW",58
"qFlpGoiq46YfzfytgEjj","CRITICAL_ASSET_1652283046149","YELLOW",61
"fEWoL9QPeCgGGjhYHpel","CRITICAL_ASSET_1652283840349","YELLOW",50
"fEWoL9QPeCgGGjhYHpel","CRITICAL_ASSET_1652283046149","RED",49
"qFlpGoiq46YfzfytgEjj","CRITICAL_ASSET_1652282978809","RED",36
"qFlpGoiq46YfzfytgEjj","NAPOLI","YELLOW",81
"qFlpGoiq46YfzfytgEjj","NOS436","YELLOW",85
"fEWoL9QPeCgGGjhYHpel","CRITICAL_ASSET_1652283046149","ORANGE",36
"qFlpGoiq46YfzfytgEjj","CRITICAL_ASSET_1652282809098","YELLOW",39
"qFlpGoiq46YfzfytgEjj","CRITICAL_ASSET_1652282978809","ORANGE",49
"qFlpGoiq46YfzfytgEjj","CRITICAL_ASSET_1652283081689","YELLOW",85
"qFlpGoiq46YfzfytgEjj","CRITICAL_ASSET_1652283104248","ORANGE",30
"qFlpGoiq46YfzfytgEjj","ADH646","YELLOW",67
"qFlpGoiq46YfzfytgEjj","CRITICAL_ASSET_1652283104248","YELLOW",55
"qFlpGoiq46YfzfytgEjj","CRITICAL_ASSET_1652283134068","YELLOW",36
"fEWoL9QPeCgGGjhYHpel","CRITICAL_ASSET_1652282978809","YELLOW",26
"fEWoL9QPeCgGGjhYHpel","EZY363E","YELLOW",70
"qFlpGoiq46YfzfytgEjj","CRITICAL_ASSET_1652283134068","ORANGE",49
"qFlpGoiq46YfzfytgEjj","CRITICAL_ASSET_1652340976057","YELLOW",85
"ZYJXuYJL6Jp0iiQn5G9I","NOS436","YELLOW",61
"ZYJXuYJL6Jp0iiQn5G9I","ADH646","YELLOW",61
"ZYJXuYJL6Jp0iiQn5G9I","NAPOLI","YELLOW",41
"ZYJXuYJL6Jp0iiQn5G9I","CRITICAL_ASSET_1652282978809","ORANGE",37
"ZYJXuYJL6Jp0iiQn5G9I","CRITICAL_ASSET_1652283134068","YELLOW",22
"ZYJXuYJL6Jp0iiQn5G9I","CRITICAL_ASSET_1652283046149","ORANGE",9
"ZYJXuYJL6Jp0iiQn5G9I","ADH124","YELLOW",62
"ZYJXuYJL6Jp0iiQn5G9I","TAR757","YELLOW",44
"ZYJXuYJL6Jp0iiQn5G9I","CRITICAL_ASSET_1652283081689","YELLOW",46
"ZYJXuYJL6Jp0iiQn5G9I","CRITICAL_ASSET_1652283134068","ORANGE",12
"ZYJXuYJL6Jp0iiQn5G9I","CRITICAL_ASSET_1652283046149","YELLOW",22
"ZYJXuYJL6Jp0iiQn5G9I","CRITICAL_ASSET_1652282809098","YELLOW",32
"ZYJXuYJL6Jp0iiQn5G9I","EZY363E","YELLOW",34
"ZYJXuYJL6Jp0iiQn5G9I","CRITICAL_ASSET_1652283104248","YELLOW",21
"ZYJXuYJL6Jp0iiQn5G9I","CRITICAL_ASSET_1652282978809","RED",23
"ZYJXuYJL6Jp0iiQn5G9I","CRITICAL_ASSET_1652283104248","ORANGE",32
"ZYJXuYJL6Jp0iiQn5G9I","CRITICAL_ASSET_1652283134068","RED",23
"ZYJXuYJL6Jp0iiQn5G9I","CRITICAL_ASSET_1652340976057","YELLOW",50
