id,progressType,takeoffTime,taxiTime,taxipath,time
"ADH138","Gate Occupied",1549640863895,184.669581334388," K Z WB 35L-17R",1549640704000
"AUA516P","Gate Occupied",1549640798532,123.80716745884995," K Z WB 35L-17R",1549640704000
"NAPOLI","Gate Occupied",1549645635734,999.7232809477431," T Y H C CA 35R-17L",1549640705000
"EZY363E","Gate Occupied",1549641602102,684.8056766237677," A M C H GE 35L-17R",1549640705000
"EZY152X","Gate Occupied",1549641839007,681.709866205839," M C H GE 35L-17R",1549640821000
"AUA516P","Taxi Start",1549640798532,123.80716745884995," K Z WB 35L-17R",1549640823000
"ADH138","Taxi Start",1549641072895,184.669581334388," K Z WB 35L-17R",1549640849000
"ADH124","Gate Occupied",1549641388881,169.65542256105573," K Z WB 35L-17R",1549640881000
"AEA406","Gate Occupied",1549641730367,513.0702542967182," 609 T Y Z WB 35L-17R",1549640881000
"AUA516P","Taxi Start",1549640962881,123.80716745884995," K Z WB 35L-17R",1549640946000
