position,entityId,entityName,droneId,droneName,eventType,description,riskType,distance,timestamp,visible,onlyRadar
{"lat":"45.61055768962564","lng":"8.712361640250153"},"CRITICAL_ASSET_1652340976057","FIRE_STATION","HR1kSo3xv7uDG95SW1yu","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1072.84,1549641312000,false,true
{"lat":"45.610625609241104","lng":"8.713385556208072"},"CRITICAL_ASSET_1652282978809","RWY_35_L","HR1kSo3xv7uDG95SW1yu","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",2102.57,1549641320000,false,true
{"lat":"45.610659569048835","lng":"8.713897514187034"},"CRITICAL_ASSET_1652283713830","APP_35_L","HR1kSo3xv7uDG95SW1yu","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1569.03,1549641324000,false,true
{"lat":"45.61099067717425","lng":"8.71888910448189"},"CRITICAL_ASSET_1652282978809","RWY_35_L","HR1kSo3xv7uDG95SW1yu","Drone_03","DRONE_VS_CA","drone vs critical asset","ORANGE",1942.77,1549641363000,false,true
{"lat":"45.61101614703005","lng":"8.71927307296611"},"CRITICAL_ASSET_1652283713830","APP_35_L","HR1kSo3xv7uDG95SW1yu","Drone_03","DRONE_VS_CA","drone vs critical asset","ORANGE",1283.55,1549641366000,false,true
{"lat":"45.61127933553999","lng":"8.72324074730305"},"CRITICAL_ASSET_1652340976057","FIRE_STATION","HR1kSo3xv7uDG95SW1yu","Drone_03","DRONE_OUT_CA","drone out of critical asset range","NONE",1032.59,1549641397000,false,true
{"lat":"45.61130480539579","lng":"8.72362471578727"},"CRITICAL_ASSET_1652283840349","APP_35_R","HR1kSo3xv7uDG95SW1yu","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1413.85,1549641400000,false,true
{"lat":"45.61131329534772","lng":"8.72375270528201"},"CRITICAL_ASSET_1652283046149","RWY_35_R","HR1kSo3xv7uDG95SW1yu","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",2518.21,1549641401000,false,true
{"lat":"45.611415174770926","lng":"8.725288579218889"},"CRITICAL_ASSET_1652282978809","RWY_35_L","HR1kSo3xv7uDG95SW1yu","Drone_03","DRONE_VS_CA","drone vs critical asset","RED",1867.49,1549641413000,false,true
{"lat":"45.61157648385766","lng":"8.72772037961895"},"CRITICAL_ASSET_1652282978809","RWY_35_L","HR1kSo3xv7uDG95SW1yu","Drone_03","CA_DAMAGED","critical asset damaged","RED",1873.4,1549641432000,true,true
{"lat":"45.61166987332893","lng":"8.729128264061089"},"CRITICAL_ASSET_1652283840349","APP_35_R","HR1kSo3xv7uDG95SW1yu","Drone_03","DRONE_VS_CA","drone vs critical asset","ORANGE",1070.36,1549641443000,false,true
{"lat":"45.6116868532328","lng":"8.729384243050568"},"CRITICAL_ASSET_1652283046149","RWY_35_R","HR1kSo3xv7uDG95SW1yu","Drone_03","DRONE_VS_CA","drone vs critical asset","ORANGE",2392.51,1549641445000,false,true
