droneId,entityId,riskType,seconds
"HR1kSo3xv7uDG95SW1yu","CRITICAL_ASSET_1652283713830","YELLOW",42
"HR1kSo3xv7uDG95SW1yu","CRITICAL_ASSET_1652283713830","ORANGE",94
"HR1kSo3xv7uDG95SW1yu","CRITICAL_ASSET_1652283046149","ORANGE",15
"HR1kSo3xv7uDG95SW1yu","CRITICAL_ASSET_1652340976057","YELLOW",85
"HR1kSo3xv7uDG95SW1yu","CRITICAL_ASSET_1652283840349","YELLOW",43
"HR1kSo3xv7uDG95SW1yu","CRITICAL_ASSET_1652282978809","ORANGE",52
"HR1kSo3xv7uDG95SW1yu","CRITICAL_ASSET_1652283840349","ORANGE",17
"HR1kSo3xv7uDG95SW1yu","CRITICAL_ASSET_1652282978809","YELLOW",43
"HR1kSo3xv7uDG95SW1yu","CRITICAL_ASSET_1652283046149","YELLOW",44
"HR1kSo3xv7uDG95SW1yu","CRITICAL_ASSET_1652282978809","RED",45
