id,clearanceType,time,type
"EZY152X","Runway Change",1549641063200,"DEP"
"ADH138","Runway Change",1549641063200,"DEP"
"NAPOLI","Runway Entry Change",1549641063200,"DEP"
"EZY363E","Runway Change",1549641063200,"DEP"
"AEA406","Runway Change",1549641063200,"DEP"
"ADH124","Runway Change",1549641063200,"DEP"
"AEA406","Runway Entry Change",1549641063200,"DEP"
"ADH124","Runway Entry Change",1549641063200,"DEP"
"EZY363E","Runway Entry Change",1549641063200,"DEP"
"NAPOLI","Runway Change",1549641063200,"DEP"
"AUA516P","Runway Entry Change",1549641063200,"DEP"
"AUA516P","Runway Change",1549641063200,"DEP"
"ADH138","Runway Entry Change",1549641063200,"DEP"
"EZY152X","Runway Entry Change",1549641063200,"DEP"
"AUA516P","Startup Clearance",1549641119300,"DEP"
"EZY363E","Startup Clearance",1549641120300,"DEP"
"ADH138","Startup Clearance",1549641120300,"DEP"
"AEA406","Startup Clearance",1549641120300,"DEP"
"AEA406","Pushback Clearance",1549641124300,"DEP"
"ADH138","Taxi Clearance",1549641125300,"DEP"
"EZY363E","Pushback Clearance",1549641125300,"DEP"
"AUA516P","Taxi Clearance",1549641125300,"DEP"
"AEA406","Taxi Clearance",1549641126300,"DEP"
"EZY363E","Taxi Clearance",1549641126300,"DEP"
"AUA516P","Lineup Clearance",1549641158300,"DEP"
"EZY363E","Runway Entry Change",1549641227300,"DEP"
"NOS436","Runway Change",1549641230300,"DEP"
"NOS436","Runway Entry Change",1549641230300,"DEP"
"EZY152X","Startup Clearance",1549641242300,"DEP"
"EZY152X","Pushback Clearance",1549641248300,"DEP"
"EZY152X","Taxi Clearance",1549641249300,"DEP"
"EZY152X","Hold Clearance",1549641262300,"DEP"
"AUA516P","Takeoff Clearance",1549641285300,"DEP"
"ADH138","Lineup Clearance",1549641313300,"DEP"
