id,progressType,takeoffTime,taxiTime,taxipath,time
"NAPOLI","Gate Occupied",1549645635734,999.7232809477431," T Y H C CA 35R-17L",1549641064000
"ADH124","Gate Occupied",1549641388881,169.65542256105573," K Z WB 35L-17R",1549641064000
"AEA406","Gate Occupied",1549641730367,513.0702542967182," 609 T Y Z WB 35L-17R",1549641064000
"AUA516P","Gate Occupied",1549640798533,123.80716745884995," K Z WB 35L-17R",1549641064000
"EZY363E","Gate Occupied",1549641602102,684.8056766237677," A M C H GE 35L-17R",1549641064000
"ADH138","Gate Occupied",1549640863896,184.669581334388," K Z WB 35L-17R",1549641064000
"EZY152X","Gate Occupied",1549641839007,681.709866205839," M C H GE 35L-17R",1549641064000
"ADH138","Taxi Start",1549640863896,184.669581334388," K Z WB 35L-17R",1549641170300
"AUA516P","Taxi Start",1549641329832,123.80716745884995," K Z WB 35L-17R",1549641171300
"NOS436","Gate Occupied",1549641780972,203.67503345307452," K Z WB 35L-17R",1549641242700
"AUA516P","Taxi Start",1549641329832,123.80716745884995," K Z WB 35L-17R",1549641295700
"EZY363E","Taxi Start",1549641857557,556.857086501621," A M C CF FE 35L-17R",1549641322700
"ADH138","Taxi Start",1549641365069,184.669581334388," K Z WB 35L-17R",1549641354700
"AEA406","Taxi Start",1549641715575,513.0702542967182," 609 T Y Z WB 35L-17R",1549641385700
"EZY363E","Taxi Start",1549641798615,556.857086501621," A M C CF FE 35L-17R",1549641454700
"EZY152X","Taxi Start",1549642004461,553.7612760836923," M C CF FE 35L-17R",1549641470700
"EZY363E","Taxi Start",1549641798615,556.857086501621," A M C CF FE 35L-17R",1549641477700
"EZY287C","Gate Occupied",1549642507093,689.7966496128936," B BE M C H GE 35L-17R",1549641482700
