id,progressType,time
"NAPOLI","Gate Occupied",1549641064000
"ADH124","Gate Occupied",1549641064000
"AEA406","Gate Occupied",1549641064000
"AUA516P","Gate Occupied",1549641064000
"EZY363E","Gate Occupied",1549641064000
"ADH138","Gate Occupied",1549641064000
"EZY152X","Gate Occupied",1549641064000
"AEA406","Pushback Start",1549641171300
"AEA406","Gate Vacated",1549641171300
"EZY363E","Pushback Start",1549641171300
"EZY363E","Gate Vacated",1549641171300
"ADH138","Gate Vacated",1549641180400
"AUA516P","Gate Vacated",1549641181400
"NOS436","Gate Occupied",1549641242700
"EZY152X","Pushback Start",1549641273700
"EZY152X","Gate Vacated",1549641273700
"AUA516P","Stopbar approached",1549641281700
"AUA516P","Lineup Start",1549641302700
"AUA516P","Stopbar Passed",1549641305700
"AUA516P","Runway Entry",1549641311700
"AUA516P","Lineup Complete",1549641318700
"EZY363E","Pushback Complete",1549641322700
"ADH138","Stopbar approached",1549641340700
"AUA516P","Takeoff",1549641348700
"ADH138","Lineup Start",1549641361700
"ADH138","Stopbar Passed",1549641364700
"ADH138","Runway Entry",1549641370700
"ADH138","Lineup Complete",1549641377700
"AEA406","Pushback Complete",1549641385700
"ADH138","Takeoff started",1549641418700
"ADH138","Takeoff",1549641456700
"EZY152X","Pushback Complete",1549641470700
"EZY287C","Gate Occupied",1549641482700
