name,description,Yellow Infringements,Orange Infringements,Red Infringements,Mean Time of Yellow Infringements [s],Worst Time of Yellow Infringements [s],Mean Time of Orange Infringements [s],Worst Time of Orange Infringements [s],Mean Time of Red Infringements [s],Worst Time of Red Infringements [s],Yellow Plane-Infringements,Yellow Asset-Infringements,Orange Plane-Infringements,Orange Asset-Infringements,Red Plane-Infringements,Red Asset-Infringements,Mean Time of Yellow Plane-Infringements [s],Worst Time of Yellow Plane-Infringements [s],Mean Time of Yellow Asset-Infringements [s],Worst Time of Yellow Asset-Infringements [s],Mean Time of Orange Plane-Infringements [s],Worst Time of Orange Plane-Infringements [s],Mean Time of Orange Asset-Infringements [s],Worst Time of Orange Asset-Infringements [s],Mean Time of Red Plane-Infringements [s],Worst Time of Red Plane-Infringements [s],Mean Time of Red Asset-Infringements [s],Worst Time of Red Asset-Infringements [s],Safety Degradation
LIMC_2022_06_14_10_07_58_366,Threat on 35L - Drone 01,8.0,3.0,2.0,74.375,161.0,71.0,113.0,1906.5,1947.0,2.0,6.0,0.0,3.0,0.0,2.0,103.0,117.0,64.83333333333333,161.0,0.0,0.0,71.0,113.0,0.0,0.0,1906.5,1947.0,4.0
LIMC_2022_06_14_15_54_34_896,Threat on 35L - Drone 02,12.0,5.0,2.0,772.8000000000001,2120.9,445.78000000000003,1931.9,1011.45,1982.9,3.0,9.0,0.0,5.0,0.0,2.0,1473.2666666666667,2120.9,539.3111111111111,1993.9,0.0,0.0,445.78000000000003,1931.9,0.0,0.0,1011.45,1982.9,4.0
LIMC_2022_06_16_09_20_40_566,Threat on 35L - Drone 03,5.0,4.0,1.0,51.4,85.0,1544.0,2094.0,2047.0,2047.0,0.0,5.0,0.0,4.0,0.0,1.0,0.0,0.0,51.4,85.0,0.0,0.0,1544.0,2094.0,0.0,0.0,2047.0,2047.0,4.0
LIMC_2022_06_16_09_44_04_033,Threat on 35R - Drone 01,5.0,4.0,1.0,418.58000000000004,1744.9,1332.1750000000002,1831.9,1760.9,1760.9,1.0,4.0,0.0,4.0,0.0,1.0,1744.9,1744.9,87.0,92.0,0.0,0.0,1332.1750000000002,1831.9,0.0,0.0,1760.9,1760.9,4.0
LIMC_2022_06_16_09_57_38_685,Threat on 35R - Drone 02,2.0,2.0,1.0,36.0,37.0,1102.0,2163.0,2188.0,2188.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,36.0,37.0,0.0,0.0,1102.0,2163.0,0.0,0.0,2188.0,2188.0,4.0
LIMC_2022_06_16_10_05_08_856,Threat on 35R - Drone 03,4.0,2.0,1.0,1076.85,2115.7,1098.35,2150.7,2103.7,2103.7,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,1076.85,2115.7,0.0,0.0,1098.35,2150.7,0.0,0.0,2103.7,2103.7,4.0
LIMC_2022_06_16_10_15_12_047,Threat on fingers - Drone 01,10.0,6.0,2.0,1178.08,1962.3,970.4833333333332,1915.3,41.5,45.0,3.0,7.0,0.0,6.0,0.0,2.0,1927.6333333333332,1962.3,856.8428571428573,1918.3,0.0,0.0,970.4833333333332,1915.3,0.0,0.0,41.5,45.0,4.0
LIMC_2022_06_16_10_29_23_96,Threat parallel to runways - Drone 01,8.0,0.0,0.0,591.35,1998.9,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,75.0,75.0,665.1142857142858,1998.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
LIMC_2022_06_17_10_28_08_015,Threat parallel to runways - Drone 04,3.0,0.0,0.0,198.66666666666666,312.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,198.66666666666666,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
LIMC_2022_06_17_10_55_58_966,Threat on routes - Drone 01,2.0,0.0,0.0,2033.5,2094.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2033.5,2094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
LIMC_2022_06_17_11_04_24_808,Threat on routes - Drone 03,2.0,2.0,0.0,159.5,191.0,1976.5,1998.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,159.5,191.0,0.0,0.0,1976.5,1998.0,0.0,0.0,0.0,0.0,4.0
LIMC_2022_06_17_11_20_34_221,Threat on tower - Drone 01,11.0,4.0,1.0,1374.6363636363637,2176.0,22.75,55.0,12.0,12.0,3.0,8.0,0.0,4.0,0.0,1.0,1447.0,2176.0,1347.5,2165.0,0.0,0.0,22.75,55.0,0.0,0.0,12.0,12.0,4.0
mean,,6.0,2.6666666666666665,0.9166666666666666,663.8115025252526,1249.8916666666667,713.5865277777779,1187.7333333333333,922.5875,1007.2083333333334,1.0833333333333333,4.916666666666667,0.0,2.6666666666666665,0.0,0.9166666666666666,564.2333333333333,683.0083333333333,593.0431878306878,1096.9833333333333,0.0,0.0,713.5865277777779,1187.7333333333333,0.0,0.0,922.5875,1007.2083333333334,4.0
standard_deviation,,3.5118845842842465,1.9293061504650375,0.759202798262025,611.0768796751934,931.2493252421119,678.3314506193017,979.9939262850334,955.2269695655671,1002.2941346882939,1.2555432644432802,2.3614378858841256,0.0,1.9293061504650375,0.0,0.759202798262025,775.7089711760223,937.6299691761257,608.1470447140232,954.6245159165402,0.0,0.0,678.3314506193017,979.9939262850334,0.0,0.0,955.2269695655671,1002.2941346882939,0.0
