name,description,Flights Released for Departures,Takeoffs,Delayed Departing Flights,Delayed Departing Flights [%],Mean Delay of Departing Flights [s],Worst Delay of Departing Flights [s],Landed Flights,Delayed Arriving Flights,Delayed Arriving Flights [%],Mean Delay of Arriving Flights [s],Worst Delay of Arriving Flights [s],Time Performance Degradation
LIMC_2022_06_14_10_07_58_366,Threat on 35L - Drone 01,11.0,2.0,10.0,90.9090909090909,1328.8087999999998,2071.119,0.0,0.0,0.0,0.0,0.0,2.0
LIMC_2022_06_14_15_54_34_896,Threat on 35L - Drone 02,9.0,2.0,8.0,88.88888888888889,1358.293625,2071.119,0.0,0.0,0.0,0.0,0.0,2.0
LIMC_2022_06_16_09_20_40_566,Threat on 35L - Drone 03,8.0,2.0,7.0,87.5,1423.034571428571,2071.119,0.0,0.0,0.0,0.0,0.0,2.0
LIMC_2022_06_16_09_44_04_033,Threat on 35R - Drone 01,11.0,4.0,9.0,81.81818181818183,1085.7505555555554,2071.119,0.0,0.0,0.0,0.0,0.0,1.0
LIMC_2022_06_16_09_57_38_685,Threat on 35R - Drone 02,8.0,1.0,7.0,87.5,1720.1774285714284,2596.104,0.0,0.0,0.0,0.0,0.0,2.0
LIMC_2022_06_16_10_05_08_856,Threat on 35R - Drone 03,8.0,1.0,7.0,87.5,1725.7917142857143,2596.104,0.0,0.0,0.0,0.0,0.0,2.0
LIMC_2022_06_16_10_15_12_047,Threat on fingers - Drone 01,9.0,2.0,8.0,88.88888888888889,1381.818625,2071.119,0.0,0.0,0.0,0.0,0.0,2.0
LIMC_2022_06_16_10_29_23_96,Threat parallel to runways - Drone 01,9.0,2.0,8.0,88.88888888888889,1371.043625,2071.119,0.0,0.0,0.0,0.0,0.0,2.0
LIMC_2022_06_17_10_28_08_015,Threat parallel to runways - Drone 04,15.0,8.0,7.0,46.666666666666664,292.1448571428571,546.104,0.0,0.0,0.0,0.0,0.0,0.0
LIMC_2022_06_17_10_55_58_966,Threat on routes - Drone 01,9.0,2.0,8.0,88.88888888888889,1357.768625,2071.119,0.0,0.0,0.0,0.0,0.0,2.0
LIMC_2022_06_17_11_04_24_808,Threat on routes - Drone 03,9.0,1.0,8.0,88.88888888888889,1626.3936249999997,2596.104,0.0,0.0,0.0,0.0,0.0,2.0
LIMC_2022_06_17_11_20_34_221,Threat on tower - Drone 01,8.0,1.0,7.0,87.5,1718.4631428571427,2596.104,0.0,0.0,0.0,0.0,0.0,2.0
mean,,9.5,2.3333333333333335,7.833333333333333,84.486531986532,1365.7907662367725,2119.0294166666663,0.0,0.0,0.0,0.0,0.0,1.75
standard_deviation,,1.9364916731037085,1.8856180831641267,0.8975274678557508,11.590007398253512,374.5741879892846,532.3347047693862,0.0,0.0,0.0,0.0,0.0,0.5951190357119042
