id,progressType,takeoffTime,taxiTime,taxipath,time
"NAPOLI","Gate Occupied",1549645635734,999.7232809477431," T Y H C CA 35R-17L",1549641063000
"ADH124","Gate Occupied",1549641388881,169.65542256105573," K Z WB 35L-17R",1549641063000
"AEA406","Gate Occupied",1549641730367,513.0702542967182," 609 T Y Z WB 35L-17R",1549641063000
"AUA516P","Gate Occupied",1549640798533,123.80716745884995," K Z WB 35L-17R",1549641063000
"EZY363E","Gate Occupied",1549641602102,684.8056766237677," A M C H GE 35L-17R",1549641063000
"ADH138","Gate Occupied",1549640863896,184.669581334388," K Z WB 35L-17R",1549641063000
"EZY152X","Gate Occupied",1549641839007,681.709866205839," M C H GE 35L-17R",1549641063000
"AUA516P","Taxi Start",1549641225632,123.80716745884995," K Z WB 35L-17R",1549641067100
"ADH138","Taxi Start",1549641290995,184.669581334388," K Z WB 35L-17R",1549641067100
"NOS436","Gate Occupied",1549641780972,203.67503345307452," K Z WB 35L-17R",1549641241100
"AEA406","Taxi Start",1549641624975,513.0702542967182," 609 T Y Z WB 35L-17R",1549641283100
"EZY363E","Taxi Start",1549641767723,684.8056766237677," A M C H GE 35L-17R",1549641283100
"AUA516P","Taxi Start",1549641315748,123.80716745884995," K Z WB 35L-17R",1549641314100
"ADH138","Taxi Start",1549641326921,184.669581334388," K Z WB 35L-17R",1549641320100
"ADH138","Taxi Start",1549641375748,184.669581334388," K Z WB 35L-17R",1549641373100
"EZY287C","Gate Occupied",1549642507093,689.7966496128936," B BE M C H GE 35L-17R",1549641481100
"ADH124","Taxi Start",1549641749981,169.65542256105573," K Z WB 35L-17R",1549641541100
"AEA406","Taxi Start",1549641585748,513.0702542967182," 609 T Y Z WB 35L-17R",1549641580100
"TAR757","Gate Occupied",1549642426066,486.8405057873887," R K Z WB 35L-17R",1549641601100
"ADH646","Gate Occupied",1549642103995,164.76924920896957," K Z WB 35L-17R",1549641601100
"NOS436","Taxi Start",1549641903072,203.67503345307452," K Z WB 35L-17R",1549641662100
"ADH124","Taxi Start",1549641749981,169.65542256105573," K Z WB 35L-17R",1549641709100
"EZY54HY","Gate Occupied",1549642797777,680.480776285549," B BE M C H GE 35L-17R",1549641781100
"EZY152X","Taxi Start",1549642258110,681.709866205839," M C H GE 35L-17R",1549641815100
"EZY363E","Taxi Start",1549641861401,684.8056766237677," A M C H GE 35L-17R",1549641840100
"EZY22XF","Gate Occupied",1549642852656,675.3595029550454," M C H GE 35L-17R",1549641841100
"NOS436","Taxi Start",1549642035748,203.67503345307452," K Z WB 35L-17R",1549642032100
"WZZ2TY","Gate Occupied",1549642888118,468.89212094763633," R K Z WB 35L-17R",1549642081100
"EZY152X","Taxi Start",1549642221872,639.4752026173653," M C CA 35R-17L",1549642096100
"DLH1LC","Gate Occupied",1549642968796,431.49884887830007," S K Z WB 35L-17R",1549642201100
"EZY152X","Taxi Start",1549642248984,639.4752026173653," M C CA 35R-17L",1549642234100
