id,progressType,time
"NAPOLI","Gate Occupied",1549641062000
"ADH124","Gate Occupied",1549641062000
"AEA406","Gate Occupied",1549641062000
"EZY363E","Gate Occupied",1549641062000
"EZY152X","Gate Occupied",1549641062000
"ADH138","Gate Occupied",1549641062000
"AUA516P","Gate Occupied",1549641062000
"EZY363E","Pushback Start",1549641151100
"EZY363E","Gate Vacated",1549641151100
"AEA406","Pushback Start",1549641152100
"AEA406","Gate Vacated",1549641152100
"ADH138","Gate Vacated",1549641162100
"AUA516P","Gate Vacated",1549641163100
"NOS436","Gate Occupied",1549641241100
"AUA516P","Stopbar approached",1549641262100
"AUA516P","Lineup Start",1549641283100
"AUA516P","Stopbar Passed",1549641286100
"AUA516P","Runway Entry",1549641292100
"AUA516P","Lineup Complete",1549641299100
"EZY363E","Pushback Complete",1549641302100
"ADH138","Stopbar approached",1549641321100
"AUA516P","Takeoff",1549641329100
"ADH138","Lineup Start",1549641351100
"ADH138","Stopbar Passed",1549641354100
"ADH138","Runway Entry",1549641361100
"AEA406","Pushback Complete",1549641366100
"ADH138","Lineup Complete",1549641367100
"ADH138","Takeoff started",1549641381100
"EZY152X","Pushback Start",1549641410100
"EZY152X","Gate Vacated",1549641410100
"ADH138","Takeoff",1549641419100
"EZY287C","Gate Occupied",1549641481100
"ADH124","Gate Vacated",1549641539100
"TAR757","Gate Occupied",1549641601100
"ADH646","Gate Occupied",1549641601100
"EZY152X","Pushback Complete",1549641618100
"AEA406","Stopbar approached",1549641648100
"AEA406","Lineup Start",1549641703100
"AEA406","Stopbar Passed",1549641706100
"ADH124","Stopbar approached",1549641709100
"AEA406","Runway Entry",1549641713100
"AEA406","Lineup Complete",1549641719100
"EZY54HY","Gate Occupied",1549641781100
"EZY22XF","Gate Occupied",1549641841100
"EZY363E","Stopbar approached",1549641880100
"EZY363E","Lineup Start",1549641946100
"EZY363E","Stopbar Passed",1549641948100
"EZY363E","Runway Entry",1549641954100
"EZY363E","Lineup Complete",1549641960100
"EZY363E","Takeoff started",1549641961100
"AEA406","Takeoff started",1549641966100
"EZY363E","Takeoff",1549641993100
"EZY152X","Stopbar approached",1549642001100
"AEA406","Takeoff",1549642002100
"EZY152X","Lineup Start",1549642022100
"ADH124","Lineup Start",1549642023100
"EZY152X","Stopbar Passed",1549642024100
"ADH124","Stopbar Passed",1549642025100
"EZY152X","Runway Entry",1549642030100
"ADH124","Runway Entry",1549642032100
"EZY152X","Lineup Complete",1549642036100
"EZY152X","Takeoff started",1549642037100
"ADH124","Lineup Complete",1549642038100
"EZY152X","Takeoff",1549642069100
"WZZ2TY","Gate Occupied",1549642081100
"ADH124","Takeoff started",1549642090100
"ADH124","Takeoff",1549642128100
