droneId,entityId,riskType,seconds
"QMZRT7Gv4UApn9MU42pS","CRITICAL_ASSET_1652283104248","YELLOW",145
"QMZRT7Gv4UApn9MU42pS","CRITICAL_ASSET_1652283081689","YELLOW",188
"QMZRT7Gv4UApn9MU42pS","CRITICAL_ASSET_1652283134068","YELLOW",142
"QMZRT7Gv4UApn9MU42pS","TAR757","YELLOW",142
"QMZRT7Gv4UApn9MU42pS","NAPOLI","YELLOW",119
"QMZRT7Gv4UApn9MU42pS","CRITICAL_ASSET_1652340976057","YELLOW",102
"QMZRT7Gv4UApn9MU42pS","CRITICAL_ASSET_1652282978809","YELLOW",96
"QMZRT7Gv4UApn9MU42pS","CRITICAL_ASSET_1652282809098","YELLOW",94
"QMZRT7Gv4UApn9MU42pS","NOS436","YELLOW",61
"QMZRT7Gv4UApn9MU42pS","CRITICAL_ASSET_1652283104248","ORANGE",57
"QMZRT7Gv4UApn9MU42pS","ADH646","YELLOW",44
"QMZRT7Gv4UApn9MU42pS","CRITICAL_ASSET_1652283134068","ORANGE",41
