position,entityId,entityName,droneId,droneName,eventType,description,riskType,distance,timestamp,visible,onlyRadar
{"lat":"45.610559387616135","lng":"8.712387238150821"},"CRITICAL_ASSET_1652340976057","FIRE_STATION","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1071.96,1549641925000,false,true
{"lat":"45.61056617957768","lng":"8.712489629746619"},"CRITICAL_ASSET_1652340976057","FIRE_STATION","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1068.45,1549641927000,true,true
{"lat":"45.61056957555846","lng":"8.712540825544519"},"CRITICAL_ASSET_1652340976057","FIRE_STATION","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1066.72,1549641928000,false,true
{"lat":"45.61057297153923","lng":"8.712592021342418"},"CRITICAL_ASSET_1652340976057","FIRE_STATION","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1065,1549641929000,true,true
{"lat":"45.610576367520004","lng":"8.712643217140316"},"CRITICAL_ASSET_1652340976057","FIRE_STATION","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1063.29,1549641930000,false,true
{"lat":"45.61059334742387","lng":"8.712899196129813"},"CRITICAL_ASSET_1652340976057","FIRE_STATION","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1054.93,1549641935000,true,true
{"lat":"45.61059674340465","lng":"8.712950391927711"},"CRITICAL_ASSET_1652340976057","FIRE_STATION","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1053.29,1549641936000,false,true
{"lat":"45.610603535366195","lng":"8.71305278352351"},"CRITICAL_ASSET_1652340976057","FIRE_STATION","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1050.06,1549641938000,true,true
{"lat":"45.610606931346965","lng":"8.713103979321408"},"CRITICAL_ASSET_1652340976057","FIRE_STATION","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1048.46,1549641939000,false,true
{"lat":"45.610620515270064","lng":"8.713308762513005"},"CRITICAL_ASSET_1652282978809","RWY_35_L","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",2105.33,1549641943000,false,true
{"lat":"45.610654475077794","lng":"8.713820720491997"},"CRITICAL_ASSET_1652283713830","APP_35_L","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1573.54,1549641953000,false,true
{"lat":"45.61065787105857","lng":"8.713871916289895"},"CRITICAL_ASSET_1652282978809","RWY_35_L","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",2085.37,1549641954000,true,true
{"lat":"45.61065787105857","lng":"8.713871916289895"},"CRITICAL_ASSET_1652283713830","APP_35_L","Qu2q0HtCbGdWaYFvBzp2","Drone_03","DRONE_VS_CA","drone vs critical asset","YELLOW",1570.53,1549641954000,true,true
