id,clearanceType,time,type
"NAPOLI","Runway Change",1549641064000,"DEP"
"NAPOLI","Runway Entry Change",1549641064000,"DEP"
"ADH124","Runway Change",1549641064000,"DEP"
"ADH124","Runway Entry Change",1549641064000,"DEP"
"AEA406","Runway Change",1549641064000,"DEP"
"AEA406","Runway Entry Change",1549641064000,"DEP"
"AUA516P","Runway Change",1549641064000,"DEP"
"AUA516P","Runway Entry Change",1549641064000,"DEP"
"EZY363E","Runway Change",1549641064000,"DEP"
"EZY363E","Runway Entry Change",1549641064000,"DEP"
"ADH138","Runway Change",1549641065000,"DEP"
"ADH138","Runway Entry Change",1549641065000,"DEP"
"EZY152X","Runway Change",1549641065000,"DEP"
"EZY152X","Runway Entry Change",1549641065000,"DEP"
"AEA406","Startup Clearance",1549641156500,"DEP"
"AUA516P","Startup Clearance",1549641157500,"DEP"
"EZY363E","Startup Clearance",1549641157500,"DEP"
"ADH138","Startup Clearance",1549641157500,"DEP"
"AEA406","Pushback Clearance",1549641164500,"DEP"
"ADH138","Taxi Clearance",1549641164500,"DEP"
"AUA516P","Taxi Clearance",1549641166500,"DEP"
"EZY363E","Pushback Clearance",1549641168500,"DEP"
"EZY363E","Taxi Clearance",1549641169500,"DEP"
"AEA406","Taxi Clearance",1549641169500,"DEP"
"AUA516P","Lineup Clearance",1549641197500,"DEP"
"NOS436","Runway Change",1549641230600,"DEP"
"NOS436","Runway Entry Change",1549641230600,"DEP"
"AUA516P","Takeoff Clearance",1549641290600,"DEP"
"ADH138","Lineup Clearance",1549641369600,"DEP"
"EZY152X","Startup Clearance",1549641376600,"DEP"
"EZY152X","Pushback Clearance",1549641380600,"DEP"
"EZY152X","Taxi Clearance",1549641381600,"DEP"
"EZY363E","Taxi Clearance",1549641397600,"DEP"
"EZY287C","Runway Change",1549641470600,"DEP"
"EZY287C","Runway Entry Change",1549641470600,"DEP"
"ADH124","Startup Clearance",1549641537600,"DEP"
"ADH138","Takeoff Clearance",1549641572600,"DEP"
