name,description,Flights Released for Departures,Yellow Infringements,Orange Infringements,Red Infringements,Mean Time of Yellow Infringements [s],Mean Time of Orange Infringements [s],Mean Time of Red Infringements [s],Yellow Plane-Infringements,Yellow Asset-Infringements,Orange Plane-Infringements,Orange Asset-Infringements,Red Plane-Infringements,Red Asset-Infringements,Takeoffs,Delayed Departing Flights,Delayed Departing Flights [%],Mean Delay of Departing Flights [s],Clearances for Departing Flights,Clearances for Departing Flights (Normalized),Departure Rate [per 15 min]
LIMC_2022_05_27_12_28_49_0,Threat on fingers - Drone 01,15.0,15.0,7.0,2.0,93.86666666666666,47.57142857142857,41.5,5.0,10.0,1.0,6.0,0.0,2.0,9.0,7.0,46.66666666666666,336.1877142857143,85.0,5.666666666666668,6.058339566192969
LIMC_2022_05_30_10_18_17_859,Threat on 35L - Drone 01,15.0,3.0,2.0,0.0,183.0,333.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,7.0,8.0,53.33333333333334,400.29350000000005,71.0,4.733333333333333,4.436307302302655
LIMC_2022_05_30_10_58_02_433,Threat on 35L - Drone 02,14.0,10.0,2.0,0.0,284.5,263.0,0.0,4.0,6.0,0.0,2.0,0.0,0.0,6.0,8.0,57.14285714285714,393.380875,64.0,4.571428571428571,4.9220672682526665
LIMC_2022_05_30_12_12_20_307,Threat on 35L - Drone 03,17.0,3.0,2.0,0.0,347.0,700.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,10.0,8.0,47.058823529411754,382.440125,105.0,6.1764705882352935,5.312868949232586
LIMC_2022_05_30_15_49_28_355,Threat on routes - Drone 01,19.0,2.0,0.0,0.0,430.45,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,12.0,63.157894736842096,647.997,104.0,5.473684210526316,5.262901418059548
LIMC_2022_06_01_10_55_02_822,Threat on routes - Drone 03,17.0,2.0,2.0,0.0,374.5,695.5,0.0,0.0,2.0,0.0,2.0,0.0,0.0,10.0,12.0,70.58823529411767,582.6244166666667,88.0,5.176470588235294,4.922605699283489
LIMC_2022_06_01_11_28_43_84,Threat on 35R - Drone 03,17.0,3.0,2.0,0.0,139.0,615.5,0.0,1.0,2.0,0.0,2.0,0.0,0.0,11.0,11.0,64.70588235294117,384.9646363636364,91.0,5.352941176470588,5.492981190700772
LIMC_2022_06_23_16_08_29_326,Threat on 35R - Drone 01,13.0,2.0,1.0,0.0,221.0,293.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,6.0,6.0,46.153846153846146,225.5415,56.0,4.307692307692308,6.896551724137932
LIMC_2022_06_23_16_24_00_266,Threat on 35R - Drone 02,11.0,1.0,1.0,0.0,43.0,410.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,4.0,36.36363636363637,355.147,44.0,4.0,6.143344709897611
LIMC_2022_06_23_16_36_37_93,Threat parallel to runways - Drone 01,13.0,11.0,0.0,1.0,161.1909090909091,0.0,188.0,1.0,10.0,0.0,0.0,0.0,0.0,5.0,6.0,46.153846153846146,459.2015,70.0,5.384615384615384,4.963600264725347
LIMC_2022_06_24_12_21_11_85,Threat parallel to runways - Drone 04,19.0,16.0,0.0,2.0,236.23125,0.0,249.0,4.0,12.0,0.0,0.0,0.0,0.0,11.0,14.0,73.68421052631578,391.6517142857143,109.0,5.7368421052631575,4.132058934012272
LIMC_2022_06_24_12_37_38_218,Threat on tower - Drone 01,15.0,7.0,2.0,0.0,427.28571428571433,481.5,0.0,2.0,5.0,0.0,2.0,0.0,0.0,8.0,7.0,46.66666666666666,331.51628571428574,77.0,5.133333333333334,5.63380281690141
