name,description,Flights Released for Departures,Takeoffs,Delayed Departing Flights,Delayed Departing Flights [%],Mean Delay of Departing Flights [s],Worst Delay of Departing Flights [s],Landed Flights,Delayed Arriving Flights,Delayed Arriving Flights [%],Mean Delay of Arriving Flights [s],Worst Delay of Arriving Flights [s],Time Performance Degradation
LIMC_2022_05_27_12_28_49_0,Threat on fingers - Drone 01,15.0,9.0,7.0,46.666666666666664,336.1877142857143,538.219,0.0,0.0,0.0,0.0,0.0,0.0
LIMC_2022_05_30_10_18_17_859,Threat on 35L - Drone 01,15.0,7.0,8.0,53.333333333333336,400.29350000000005,568.567,0.0,0.0,0.0,0.0,0.0,0.0
LIMC_2022_05_30_10_58_02_433,Threat on 35L - Drone 02,14.0,6.0,8.0,57.14285714285714,393.380875,739.219,0.0,0.0,0.0,0.0,0.0,0.0
LIMC_2022_05_30_12_12_20_307,Threat on 35L - Drone 03,17.0,10.0,8.0,47.05882352941176,382.440125,650.005,0.0,0.0,0.0,0.0,0.0,0.0
LIMC_2022_05_30_15_49_28_355,Threat on routes - Drone 01,19.0,12.0,12.0,63.1578947368421,647.997,1184.219,0.0,0.0,0.0,0.0,0.0,1.0
LIMC_2022_06_01_10_55_02_822,Threat on routes - Drone 03,17.0,10.0,12.0,70.58823529411765,582.6244166666668,1161.419,0.0,0.0,0.0,0.0,0.0,0.0
LIMC_2022_06_01_11_28_43_84,Threat on 35R - Drone 03,17.0,11.0,11.0,64.70588235294117,384.9646363636364,736.404,0.0,0.0,0.0,0.0,0.0,0.0
LIMC_2022_06_23_16_08_29_326,Threat on 35R - Drone 01,13.0,6.0,6.0,46.15384615384615,225.54149999999996,472.104,0.0,0.0,0.0,0.0,0.0,0.0
LIMC_2022_06_23_16_24_00_266,Threat on 35R - Drone 02,11.0,4.0,4.0,36.36363636363637,355.147,612.104,0.0,0.0,0.0,0.0,0.0,0.0
LIMC_2022_06_23_16_36_37_93,Threat parallel to runways - Drone 01,13.0,5.0,6.0,46.15384615384615,459.20149999999995,1111.067,0.0,0.0,0.0,0.0,0.0,0.0
LIMC_2022_06_24_12_21_11_85,Threat parallel to runways - Drone 04,19.0,11.0,14.0,73.68421052631578,391.65171428571426,948.807,0.0,0.0,0.0,0.0,0.0,0.0
LIMC_2022_06_24_12_37_38_218,Threat on tower - Drone 01,15.0,8.0,7.0,46.666666666666664,331.51628571428574,602.119,0.0,0.0,0.0,0.0,0.0,0.0
mean,,15.416666666666666,8.25,8.583333333333334,54.30632491004008,407.57885560966815,777.0210833333334,0.0,0.0,0.0,0.0,0.0,0.08333333333333333
standard_deviation,,2.3614378858841256,2.520747243709029,2.8710721961587025,11.031083704176694,107.82985421086592,245.81889647511449,0.0,0.0,0.0,0.0,0.0,0.2763853991962833
